t-imeacht	ˈ tʲ i mʲ ə x t̪ˠ
d'imeacht	ˈ dʲ i mʲ ə x t̪ˠ
n-ime	ˈ nʲ i mʲ ə
m'ime	ˈ mʲ i mʲ ə
b'ime	ˈ bʲ i mʲ ə
d'ime	ˈ dʲ i mʲ ə
n-imigéiniúla	ˈ nʲ i ˈ mʲ i ɟ eː nʲ uː l̻ˠ ə
b'imigéiniúla	ˈ bʲ i ˈ mʲ i ɟ eː nʲ uː l̻ˠ ə
n-im	ˈ nʲ i mʲ
m'im	ˈ mʲ i mʲ
b'im	ˈ bʲ i mʲ
t-im	ˈ tʲ i mʲ
d'im	ˈ dʲ i mʲ
n-iniúchadh	ˈ nʲ i nʲ uː x ə
m'iniúchadh	ˈ mʲ i nʲ uː x ə
b'iniúchadh	ˈ bʲ i nʲ uː x ə
t-iniúchadh	ˈ tʲ i nʲ uː x ə
d'iniúchadh	ˈ dʲ i nʲ uː x ə
n-iomarca	ˈ nʲ u mˠ ə ɾˠ k ə
m'iomarca	ˈ mʲ u mˠ ə ɾˠ k ə
b'iomarca	ˈ bʲ u mˠ ə ɾˠ k ə
d'iomarca	ˈ dʲ u mˠ ə ɾˠ k ə
n-ionam	ˈ nʲ i n̻ˠ ə mˠ
m'ionam	ˈ mʲ i n̻ˠ ə mˠ
b'ionam	ˈ bʲ i n̻ˠ ə mˠ
t-ionam	ˈ tʲ i n̻ˠ ə mˠ
d'ionam	ˈ dʲ i n̻ˠ ə mˠ
n-iothlainn	ˈ nʲ i h l̻ˠ ə n̻ʲ
m'iothlainn	ˈ mʲ i h l̻ˠ ə n̻ʲ
b'iothlainn	ˈ bʲ i h l̻ˠ ə n̻ʲ
d'iothlainn	ˈ dʲ i h l̻ˠ ə n̻ʲ
n-íseal	ˈ nʲ iː ʃ ə l̻ˠ
m'íseal	ˈ mʲ iː ʃ ə l̻ˠ
b'íseal	ˈ bʲ iː ʃ ə l̻ˠ
t-íseal	ˈ tʲ iː ʃ ə l̻ˠ
d'íseal	ˈ dʲ iː ʃ ə l̻ˠ
n-ithe	ˈ nʲ i h ə
m'ithe	ˈ mʲ i h ə
b'ithe	ˈ bʲ i h ə
t-ithe	ˈ tʲ i h ə
d'ithe	ˈ dʲ i h ə
n-ith	ˈ nʲ i h
d'ith	ˈ dʲ i h
n-obair	ˈ n̻ˠ o bˠ ə ɾʲ
m'obair	ˈ mˠ o bˠ ə ɾʲ
b'obair	ˈ bˠ o bˠ ə ɾʲ
d'obair	ˈ d̪ˠ o bˠ ə ɾʲ
n-ochtar	ˈ n̻ˠ o x t̪ˠ ə ɾˠ
m'ochtar	ˈ mˠ o x t̪ˠ ə ɾˠ
b'ochtar	ˈ bˠ o x t̪ˠ ə ɾˠ
t-ochtar	ˈ t̪ˠ o x t̪ˠ ə ɾˠ
d'ochtar	ˈ d̪ˠ o x t̪ˠ ə ɾˠ
n-ocht	ˈ n̻ˠ o x t̪ˠ
m'ocht	ˈ mˠ o x t̪ˠ
b'ocht	ˈ bˠ o x t̪ˠ
t-ocht	ˈ t̪ˠ o x t̪ˠ
d'ocht	ˈ d̪ˠ o x t̪ˠ
n-ocrais	ˈ n̻ˠ u k ɾˠ ə ʃ
m'ocrais	ˈ mˠ u k ɾˠ ə ʃ
b'ocrais	ˈ bˠ u k ɾˠ ə ʃ
d'ocrais	ˈ d̪ˠ u k ɾˠ ə ʃ
n-ocras	ˈ n̻ˠ o k ɾˠ ə sˠ
m'ocras	ˈ mˠ o k ɾˠ ə sˠ
b'ocras	ˈ bˠ o k ɾˠ ə sˠ
t-ocras	ˈ t̪ˠ o k ɾˠ ə sˠ
d'ocras	ˈ d̪ˠ o k ɾˠ ə sˠ
n-óga	ˈ n̻ˠ oː ɡ ə
m'óga	ˈ mˠ oː ɡ ə
b'óga	ˈ bˠ oː ɡ ə
d'óga	ˈ d̪ˠ oː ɡ ə
n-óg	ˈ n̻ˠ oː ɡ
m'óg	ˈ mˠ oː ɡ
b'óg	ˈ bˠ oː ɡ
t-óg	ˈ t̪ˠ oː ɡ
d'óg	ˈ d̪ˠ oː ɡ
n-oibre	ˈ n̻ˠ ai bʲ ɾʲ ə
m'oibre	ˈ mˠ ai bʲ ɾʲ ə
b'oibre	ˈ bˠ ai bʲ ɾʲ ə
d'oibre	ˈ d̪ˠ ai bʲ ɾʲ ə
n-oilte	ˈ n̻ˠ o lʲ tʲ ə
b'oilte	ˈ bˠ o lʲ tʲ ə
n-oiread	ˈ n̻ˠ e ɾʲ ə d̪ˠ
m'oiread	ˈ mˠ e ɾʲ ə d̪ˠ
b'oiread	ˈ bˠ e ɾʲ ə d̪ˠ
d'oiread	ˈ d̪ˠ e ɾʲ ə d̪ˠ
n-olc	ˈ n̻ˠ o l̻ˠ k
m'olc	ˈ mˠ o l̻ˠ k
b'olc	ˈ bˠ o l̻ˠ k
t-olc	ˈ t̪ˠ o l̻ˠ k
d'olc	ˈ d̪ˠ o l̻ˠ k
n-ollamh	ˈ n̻ˠ o l̻ˠ ə vˠ
m'ollamh	ˈ mˠ o l̻ˠ ə vˠ
b'ollamh	ˈ bˠ o l̻ˠ ə vˠ
t-ollamh	ˈ t̪ˠ o l̻ˠ ə vˠ
d'ollamh	ˈ d̪ˠ o l̻ˠ ə vˠ
n-ó	ˈ n̻ˠ oː
m'ó	ˈ mˠ oː
b'ó	ˈ bˠ oː
t-ó	ˈ t̪ˠ oː
d'ó	ˈ d̪ˠ oː
n-ord	ˈ n̻ˠ au ɾˠ d̪ˠ
m'ord	ˈ mˠ au ɾˠ d̪ˠ
b'ord	ˈ bˠ au ɾˠ d̪ˠ
t-ord	ˈ t̪ˠ au ɾˠ d̪ˠ
d'ord	ˈ d̪ˠ au ɾˠ d̪ˠ
n-ortha	ˈ n̻ˠ au ɾ̥ˠ ə
m'ortha	ˈ mˠ au ɾ̥ˠ ə
b'ortha	ˈ bˠ au ɾ̥ˠ ə
d'ortha	ˈ d̪ˠ au ɾ̥ˠ ə
n-oscail	ˈ n̻ˠ o sˠ k ə lʲ
d'oscail	ˈ d̪ˠ o sˠ k ə lʲ
n-oscailt	ˈ n̻ˠ o sˠ k ə lʲ tʲ
m'oscailt	ˈ mˠ o sˠ k ə lʲ tʲ
b'oscailt	ˈ bˠ o sˠ k ə lʲ tʲ
d'oscailt	ˈ d̪ˠ o sˠ k ə lʲ tʲ
n-uachtarach	ˈ n̻ˠ uˑə x t̪ˠ ə ɾˠ ə x
b'uachtarach	ˈ bˠ uˑə x t̪ˠ ə ɾˠ ə x
n-uaigneacha	ˈ n̻ˠ uˑə ɟ nʲ ə x ə
b'uaigneacha	ˈ bˠ uˑə ɟ nʲ ə x ə
