á	aː
chruinne	x ɾˠ i n̻ʲ ə
chruinnigh	x ɾˠ i n̻ʲ iː
chuadar	x ua d̪ˠ ə ɾˠ
chuaird	x ua ɾˠ dʲ
chuid	ˈ x i dʲ
chuige	ˈ h i ɟ ə
chúig	ˈ x uː ɟ
chúil	x uː lʲ
chuimhneamh	x i vʲ nʲ uː
chúinne	x uː n̻ʲ ə
chuireadh	ˈ x u ɾʲ uː
chuirfeadh	ˈ x u ɾʲ hʲ uː
chuiridís	x i ɾʲ i dʲ iː ʃ
chuir	ˈ x u ɾʲ
chúis	ˈ x uː ʃ
chúl	ˈ x uː l̻ˠ
chumas-sa	x u mˠ ə sˠ sˠ a
chumas	x u mˠ ə sˠ
chuma	ˈ x u mˠ ə
chun	ˈ x u n̻ˠ
chúrsa	x uː ɾˠ sˠ ə
chur	ˈ x u ɾˠ
ciall	ˈ c ia l̻ˠ
cine	ˈ c i nʲ ə
cinn	ˈ c i n̻ʲ
cionn	ˈ c i n̻ˠ
ciontach	ˈ c i n̻ˠ t̪ˠ a h
cíosa	c iː sˠ ə
cíos	ˈ c iː sˠ
ciotóige	c i t̪ˠ oː ɟ ə
císte	ˈ c iː ʃ tʲ ə
claí	ˈ k l̻ˠ iː
clainne	k l̻ˠ a n̻ʲ ə
clampair	k l̻ˠ a mˠ pˠ ə ɾʲ
clampar	ˈ k l̻ˠ a mˠ pˠ ə ɾˠ
clann	ˈ k l̻ˠ a n̻ˠ
cleamhnas	ˈ c lʲ au n̻ˠ ə sˠ
cleasaíocht	ˈ c lʲ a sˠ iː a x t̪ˠ
cleas	ˈ c lʲ a sˠ
cleite	ˈ c lʲ e tʲ ə
clocha	ˈ k l̻ˠ a h ə
cloch	ˈ k l̻ˠ a h
cloiche	k l̻ˠ o hʲ ə
clós	ˈ k l̻ˠ oː sˠ
clúdaithe	k l̻ˠ uː d̪ˠ iː
cnámha	ˈ k ɾˠ aː vˠ ə
cneasta	ˈ c ɾʲ a sˠ t̪ˠ ə
cnucán	k n̻ˠ u k a n̻ˠ
codladh	ˈ k o l̻ˠ uː
cogaidh	ˈ k o ɡ iː
cogarnaigh	k o ɡ ə ɾˠ n̻ˠ iː
coigríoch	ˈ k o ɟ ɾʲ i h
coimeádadh	k o mʲ aː d̪ˠ uː
coimeádhfaidh	k o mʲ aː fˠ iː
coínleach	k iː nʲ lʲ a h
coínlíní	k iː nʲ lʲ iː nʲ iː
coinneal	ˈ k o n̻ʲ ə l̻ˠ
coise	ˈ k o ʃ ə
cois	ˈ k o ʃ
coláiste	ˈ k o l̻ˠ aː ʃ tʲ ə
col	ˈ k o l̻ˠ
comhluadar	ˈ k oː l̻ˠ ua d̪ˠ ə ɾˠ
cónaí	ˈ k oː n̻ˠ iː
cor	ˈ k a ɾˠ
corp	ˈ k o ɾˠ pˠ
cosa	ˈ k o sˠ ə
cos	ˈ k o sˠ
cos-lomrachta	k a sˠ l̻ˠ o mˠ ɾˠ ə ɾˠ t̪ˠ ə
costais	k a sˠ t̪ˠ ə ʃ
crainn	k ɾˠ a n̻ʲ
crann	ˈ k ɾˠ a n̻ˠ
creachadh	ˈ c ɾʲ a x uː
creideamh	ˈ c ɾʲ e dʲ uː
creidimh	ˈ c ɾʲ e dʲ i vʲ
crích	c ɾʲ iː ç
críostaí	ˈ c ɾʲ iː sˠ t̪ˠ iː
crochadh	ˈ k ɾˠ o x uː
croise	k ɾˠ o ʃ ə
cromadh	k ɾˠ o mˠ uː
cromtha	k ɾˠ o m̥ˠ ə
crosta	ˈ k ɾˠ i sˠ t̪ˠ ə
cruadh-chíosa	k ɾˠ ua ɣ ç iː sˠ ə
cruinne	ˈ k ɾˠ i n̻ʲ ə
cruinn	ˈ k ɾˠ i n̻ʲ
cuanta	k ua n̻ˠ t̪ˠ ə
cuardaigh	ˈ k ua ɾˠ d̪ˠ iː
cúbadh	k uː bˠ uː
cuid	ˈ k i dʲ
cúigear	ˈ k uː ɟ ə ɾˠ
cúige	ˈ k uː ɟ ə
cúig	ˈ k uː ɟ
cuimhin	ˈ k i vʲ ə nʲ
cuimhneamh	ˈ k i vʲ nʲ uː
cuimhne	ˈ k i vʲ nʲ ə
cúinne	ˈ k uː n̻ʲ ə
cuireadh	ˈ k i ɾʲ uː
cuir	ˈ k i ɾʲ
cúis	ˈ k uː ʃ
cuma	ˈ k u mˠ ə
cúpla	ˈ k ə pˠ l̻ˠ ə
cur	ˈ k u ɾˠ
cúrsaí	ˈ k uː ɾˠ sˠ iː
curtha	ˈ k u ɾˠ h ə
dá	ˈ d̪ˠ aː
daingean	ˈ d̪ˠ a ɲ ə n̻ˠ
daireofá	d̪ˠ a ɾʲ oː h aː
dána	ˈ d̪ˠ aː n̻ˠ ə
daoibh	ˈ d̪ˠ iː vʲ
daoine	ˈ d̪ˠ iː nʲ iː
d'aois	d̪ˠ iː ʃ
d'aon	d̪ˠ iː n̻ˠ
daoradh	ˈ d̪ˠ iː ɾˠ uː
d'arbhar	d̪ˠ a ɾˠ ə vˠ ə ɾˠ
dárbh	d̪ˠ aː ɾˠ vˠ
d'ár	ˈ d̪ˠ aː ɾˠ
dár	ˈ d̪ˠ aː ɾˠ
dardaigh	d̪ˠ a ɾˠ d̪ˠ iː
d'arm	d̪ˠ a ɾˠ ə mˠ
dathacha	d̪ˠ a h a h ə
dead	dʲ a d̪ˠ
déag	ˈ dʲ eː ɡ
d'eagla	dʲ i ɡ l̻ˠ ə
dealbh	ˈ dʲ a l̻ˠ ə vˠ
déanamh	ˈ dʲ eː n̻ˠ uː
déanta	ˈ dʲ eː n̻ˠ t̪ˠ ə
déarfadh	dʲ eː ɾ̥ˠ uː
déarfaidh	ˈ dʲ eː ɾˠ h iː
déarfaidís	dʲ eː ɾ̥ˠ ə dʲ iː ʃ
de	ˈ d̪ˠ e
dé	ˈ dʲ eː
deich	ˈ dʲ e ç
deighilte	dʲ eː lʲ tʲ ə
déileamh	dʲ eː lʲ uː
deimhneach	ˈ dʲ e vʲ nʲ a h
déine	ˈ dʲ eː nʲ ə
deireadh	ˈ dʲ e ɾʲ uː
deiridís	dʲ e ɾʲ i dʲ iː ʃ
d'éirigh	ˈ dʲ iː ɾʲ iː
deirim	dʲ e ɾʲ i mʲ
deirimse	dʲ e ɾʲ i mʲ ʃ ə
deirinn	dʲ e ɾʲ i n̻ʲ
déiríodar	dʲ eː ɾʲ iː d̪ˠ ə ɾˠ
deirtí	dʲ e ɾˠ tʲ iː
deisbhéalaí	dʲ e ʃ vʲ eː l̻ˠ iː
déistineach	ˈ dʲ eː ʃ tʲ ə nʲ a h
d'éitheach	dʲ eː ç a h
den	ˈ dʲ ə nʲ
deoch	ˈ dʲ o h
deo	ˈ dʲ oː
desganaibh	dʲ e ʃ ɟ ə n̻ˠ ə vʲ
d'fhágfadh	d̪ˠ aː k uː
dfháil	d̪ˠ aː lʲ
d'fhan	d̪ˠ a n̻ˠ
d'fhanfainn	d̪ˠ a n̻̊ˠ ə n̻ʲ
d'fhásaidís	d̪ˠ aː sˠ ə dʲ iː ʃ
d'fhéac	dʲ eː k
d'fhéachadar	dʲ eː h ə d̪ˠ ə ɾˠ
dfhéach	ˈ dʲ eː h
d'fhéadadar	dʲ eː d̪ˠ ə d̪ˠ ə ɾˠ
d'fhéadfadh	ˈ d̪ˠ eː d̪ˠ uː
d'fhear	dʲ a ɾˠ
d'fhiacalaibh	dʲ ia k ə l̻ˠ ə vʲ
dhá	ˈ ɣ aː
dhaingean	ɣ a ɲ ɟ ə n̻ˠ
dhaoine	ˈ ɣ iː nʲ iː
dhaoradh	ɣ iː ɾˠ uː
dheabhróch	j oː ɾˠ o h
dheacair	j a k ə ɾʲ
dhéag	ˈ ɣ eː ɡ
dheaghshláintíghe	j ai h l̻ˠ aː nʲ tʲ iː j ə
dhea	j a
dhéanamh	ˈ j eː n̻ˠ uː
dhéanfadh	ˈ j eː n̻ˠ uː
dhéanfaidh	ˈ ɣ eː n̻ˠ h iː
dhéanfaimid	ˈ ɣ eː n̻ˠ ə mˠ i dʲ
dhearbhaigh	j a ɾˠ ə vˠ iː
dheas	ˈ j a sˠ
dhéin	j eː nʲ
dheirig	j e ɾʲ i ɟ
dhé	j eː
dh'fhásaid	ɣ aː sˠ ə dʲ
dhíbirt	j iː bʲ i ɾˠ tʲ
dhílis	j iː lʲ i ʃ
dhíobh	j iː vˠ
dhíoladar	j iː l̻ˠ ə d̪ˠ ə ɾˠ
dhíoladh	j iː l̻ˠ uː
dhíolfadh	j iː l̻̊ˠ uː
dhíol	ˈ j iː l̻ˠ
dhírigh	j iː ɾʲ iː
dhísciú	j iː ʃ c uː
dhóbair	ɣ oː bˠ ə ɾʲ
dhó	ɣ oː
dhroch	ɣ ɾˠ o h
