á	aː
cneámhaireacht	ˈ c ɾʲ aː vˠ ə ɾʲ a x t̪ˠ
cneas	ˈ c ɾʲ a sˠ
cneasaigh	ˈ c ɾʲ a sˠ iː
cneaschréacht	ˈ c nʲ a ʃ ç ɾʲ eː ɾˠ t̪ˠ
cneasta	ˈ c ɾʲ a sˠ t̪ˠ ə
cneasú	ˈ c ɾʲ a sˠ uː
cniog	ˈ c ɾʲ i ɡ
cniogán	ˈ c nʲ i ɡ aː n̻ˠ
cniogdhamhsa	ˈ c nʲ i ɡ ɣ uː sˠ ə
cniogóg	
cniogrince	ˈ c nʲ i ɟ ɾʲ ə nʲ c ə
cniotáil	ˈ c ɾʲ i t̪ˠ a lʲ
cnis	ˈ c nʲ i ʃ
cnó	ˈ k ɾˠ oː
cnoc	ˈ k ɾˠ o k
cnocán	ˈ k ɾˠ o k a n̻ˠ
cnódhonn	ˈ k ɾˠ oː ɣ ə n̻ˠ
cnoga	ˈ k ɾˠ o ɡ ə
cnoic	ˈ k ɾˠ o c
cnota	ˈ k ɾˠ a t̪ˠ ə
cnuasach	ˈ k ɾˠ uː sˠ a h
cnuchair	ˈ k ɾˠ u h ə ɾʲ
cnuchaire	ˈ k ɾˠ u h ə ɾʲ ə
cnúthacha	ˈ k ɾˠ uː h ə h ə
cobhsaí	ˈ k oː sˠ iː
coca	ˈ k o k ə
cócaire	ˈ k oː k ə ɾʲ ə
cócaireacht	ˈ k oː k ə ɾʲ a x t̪ˠ
cocán	ˈ k o k a n̻ˠ
cócaon	ˈ k oː k e n̻ˠ
cócaráil	ˈ k oː k ə ɾˠ a lʲ
cochall	ˈ k a h ə l̻ˠ
cócó	ˈ k oː k oː
cód	ˈ k oː d̪ˠ
codaí	ˈ k o d̪ˠ iː
códaigh	ˈ k oː d̪ˠ iː
codail	ˈ k o d̪ˠ ə lʲ
códainm	ˈ k oː d̪ˠ ə nʲ mʲ
codarsnach	ˈ k o d̪ˠ ə ɾˠ sˠ n̻ˠ a h
codarsnacht	ˈ k o d̪ˠ ə ɾˠ sˠ n̻ˠ a x t̪ˠ
codladh	ˈ k o l̻ˠ uː
codlata	ˈ k o l̻ˠ ə t̪ˠ ə
codlatach	ˈ k o l̻ˠ ə t̪ˠ a h
codlatán	ˈ k o l̻ˠ ə t̪ˠ a n̻ˠ
cófra	ˈ k oː fˠ ɾˠ ə
cogadh	ˈ k o ɡ uː
cogaidh	ˈ k o ɡ iː
cogaíocht	ˈ k o ɡ iː a x t̪ˠ
cógaiseoir	ˈ k oː ɡ ə ʃ o ɾʲ
cógaisíocht	ˈ k oː ɡ ə ʃ iː a x t̪ˠ
cogar	ˈ k o ɡ ə ɾˠ
cógas	ˈ k oː ɡ ə sˠ
cógaslann	ˈ k oː ɡ ə sˠ l̻ˠ ə n̻ˠ
cognaíoch	ˈ k o ɡ n̻ˠ iˑə h
coibhéis	ˈ k o vʲ e ʃ
coibhéiseach	ˈ k o vʲ e ʃ a h
coibhneasach	ˈ k o vʲ nʲ ə sˠ ə h
coibhneasacht	ˈ k o vʲ nʲ ə sˠ a x t̪ˠ
coibhneasaí	ˈ k o vʲ nʲ ə sˠ iː
coibhneasaíoch	ˈ k o vʲ nʲ ə sˠ iˑə h
coibhneasta	ˈ k o vʲ nʲ ə sˠ t̪ˠ ə
coicís	ˈ k o c i ʃ
coigealach	ˈ k o ɟ ə l̻ˠ ə h
coigeartaigh	ˈ k o ɟ ə ɾˠ t̪ˠ iː
coigeartaithe	ˈ k o ɟ ə ɾˠ t̪ˠ ə h ə
coigeartóir	
coigeartú	ˈ k o ɟ ə ɾˠ t̪ˠ uː
coigil	ˈ k o ɟ ə lʲ
coigilt	ˈ k o ɟ ə l̻ʲ tʲ
coigilteas	ˈ k o ɟ ə l̻ʲ tʲ ə sˠ
coigilteoir	
coigiltis	ˈ k o ɟ ə lʲ tʲ ə ʃ
coigríche	ˈ k o ɟ ɾʲ iː ç ə
coileáinín	ˈ k o lʲ aː nʲ iː nʲ
coileán	ˈ k o lʲ a n̻ˠ
cóilí	ˈ k oː lʲ iː
coilínigh	ˈ k o lʲ i nʲ iː
coill	ˈ k o l̻ʲ
coille	ˈ k o l̻ʲ ə
coillearnach	ˈ k o l̻ʲ ə ɾˠ n̻ˠ ə h
coillearnaí	ˈ k o l̻ʲ ə ɾˠ n̻ˠ iː
coilleolaíocht	
coillteoir	
coim	ˈ k o mʲ
coimeád	ˈ k o mʲ a d̪ˠ
cóiméad	ˈ k oː mʲ e d̪ˠ
coimeádach	ˈ k o mʲ a d̪ˠ a h
coimeádaí	ˈ k o mʲ a d̪ˠ iː
coimeádaíochta	ˈ k o mʲ aː d̪ˠ iˑə ɾˠ t̪ˠ ə
coimeádán	ˈ k o mʲ a d̪ˠ a n̻ˠ
cóimeáil	ˈ k oː mʲ a lʲ
coiméide	ˈ k o mʲ e dʲ ə
coimhdeach	ˈ k o vʲ dʲ a h
coimhdeacht	ˈ k o vʲ dʲ a x t̪ˠ
coimhdeachta	ˈ k o vʲ dʲ ə ɾˠ t̪ˠ ə
coimhdire	ˈ k o vʲ dʲ ə ɾʲ ə
cóimheá	ˈ k oː vʲ aː
coimhéad	ˈ k o vʲ e d̪ˠ
cóimheas	ˈ k oː vʲ a sˠ
cóimheasa	ˈ k oː vʲ ə sˠ ə
cóimheastóir	
coimhlint	ˈ k o vʲ lʲ ə n̻ʲ tʲ
coimhlinteach	ˈ k o vʲ lʲ ə nʲ tʲ ə h
coimhthíoch	ˈ k o vʲ hʲ iː a h
coimhthíos	ˈ k o vʲ ˈ hʲ iː sˠ
coimhthiú	ˈ k o vʲ h uː
coimín	ˈ k o mʲ i nʲ
coimircí	ˈ k o mʲ ə ɾʲ c iː
coimisiún	ˈ k o mʲ ə ʃ uː n̻ˠ
Coimisiún	ˈ k o mʲ ə ʃ uː n̻ˠ
coimisiúnaigh	ˈ k o mʲ ə ʃ uː n̻ˠ iː
coimisiúnaithe	ˈ k o mʲ ə ʃ uː n̻ˠ ə h ə
coimpléasc	ˈ k o mʲ pʲ lʲ e sˠ k
coimre	ˈ k o mʲ ɾʲ ə
coimrigh	ˈ k o mʲ ɾʲ iː
coimriú	ˈ k o mʲ ɾʲ uː
coinbhéartaigh	ˈ k o nʲ ə vʲ eː ɾˠ t̪ˠ iː
coincréit	ˈ k o ɲ c ɾʲ e tʲ
coincréitigh	ˈ k o nʲ c ɾʲ eː tʲ ə
coincréitithe	ˈ k o nʲ c ɾʲ eː tʲ ə h ə
cóineartaigh	ˈ k oː nʲ ə ɾˠ t̪ˠ iː
coineascar	ˈ k o nʲ ə sˠ k ə ɾˠ
coinicéar	ˈ k o nʲ ə c e ɾˠ
coinín	ˈ k o nʲ i nʲ
coinne	ˈ k o n̻ʲ ə
coinneáil	ˈ k o n̻ʲ a lʲ
coinneal	ˈ k o n̻ʲ ə l̻ˠ
Coinneal	ˈ k o n̻ʲ ə l̻ˠ
coinneála	ˈ k o n̻ʲ aː l̻ˠ ə
coinneálach	ˈ k o n̻ʲ a l̻ˠ a h
coinnigh	ˈ k o n̻ʲ iː
coinníoll	ˈ k o n̻ʲ i l̻ˠ
coinníollach	ˈ k o n̻ʲ i l̻ˠ a h
coinníollacha	ˈ k o n̻ʲ iˑə l̻ˠ ə h ə
coinnle	ˈ k o n̻ʲ lʲ ə
coinséartó	ˈ k o n̻ʲ ʃ e ɾˠ t̪ˠ oː
coinsias	ˈ k o n̻ʲ ʃ ia sˠ
cóip	ˈ k oː pʲ
coip	ˈ k o pʲ
cóipeáil	ˈ k oː pʲ a lʲ
cóipleabhar	ˈ k oː pʲ lʲ oː ɾˠ
cóir	ˈ k oː ɾʲ
coir	ˈ k o ɾʲ
coirc	ˈ k o ɾʲ c
Coirdíneach	ˈ k o ɾˠ dʲ iː nʲ ə h
Cóiréach	ˈ k oː ɾʲ eː h
coireacht	ˈ k o ɾʲ ə ɾˠ t̪ˠ
cóireáil	ˈ k oː ɾʲ aː lʲ
cóireáilte	ˈ k oː ɾʲ aː lʲ tʲ ə
cóirigh	ˈ k oː ɾʲ iː
cóiríocht	ˈ k oː ɾʲ iː a x t̪ˠ
cóirithe	ˈ k oː ɾʲ ə h ə
cóiritheoir	
cóiriú	ˈ k oː ɾʲ uː
coiriúil	ˈ k o ɾʲ u lʲ
coiriúlacht	ˈ k o ɾʲ uː l̻ˠ ə ɾˠ t̪ˠ
coirloscadh	ˈ k o ɾʲ l̻ˠ a sˠ k uː
coirm	ˈ k o ɾʲ ə mʲ
coirn	ˈ k o ɾʲ nʲ
coirnéal	ˈ k oː ɾˠ nʲ e l̻ˠ
coirnéil	ˈ k o ɾʲ nʲ e lʲ
coirnín	ˈ k o ɾʲ nʲ iː nʲ
coirníní	ˈ k o ɾʲ nʲ iː nʲ iː
Coirnis	ˈ k o ɾʲ nʲ ə ʃ
Coirnise	ˈ k o ɾʲ nʲ ə ʃ ə
coirp	ˈ k o ɾʲ pʲ
coirpeach	ˈ k o ɾʲ ə pʲ a h
coirpeacht	ˈ k o ɾʲ ə pʲ a x t̪ˠ
coirscéalta	ˈ k o ɾʲ ʃ c eː l̻ˠ t̪ˠ ə
cóirséad	ˈ k oː ɾʲ ʃ eː d̪ˠ
coirséad	ˈ k o ɾʲ ʃ eː d̪ˠ
coirt	ˈ k a ɾˠ tʲ
coirtéis	ˈ k o ɾˠ tʲ eː ʃ
cóirthrádáil	ˈ k oː ɾˠ h ɾˠ aː d̪ˠ aː lʲ
cois	ˈ k o ʃ
coisbheart	ˈ k o ʃ vʲ a ɾˠ t̪ˠ
coisc	ˈ k o ʃ c
coiscéim	ˈ k o ʃ c e mˠ
coiscín	ˈ k o ʃ c i nʲ
coiscthe	ˈ k o ʃ c h ə
coise	ˈ k o ʃ ə
Cóiseach	ˈ k oː ʃ ə h
coisí	ˈ k o ʃ iː
coisíocht	ˈ k o ʃ iː a x t̪ˠ
coisíochta	ˈ k o ʃ iˑə ɾˠ t̪ˠ ə
cóisir	ˈ k oː ʃ ə ɾʲ
cóisire	ˈ k oː ʃ ə ɾʲ ə
Cóisis	ˈ k oː ʃ ə ʃ
Cóisise	ˈ k oː ʃ ə ʃ ə
coisithe	ˈ k o ʃ ə h ə
coisreacan	ˈ k o ʃ ɾʲ ə k ə n̻ˠ
coisric	ˈ k o ʃ ɾʲ ə c
cóiste	ˈ k oː ʃ tʲ ə
coiste	ˈ k o ʃ tʲ ə
cóisteoir	ˈ k oː ʃ tʲ o ɾʲ
coiteann	ˈ k o tʲ ə n̻ˠ
coitianta	ˈ k o tʲ ia n̻ˠ t̪ˠ ə
cóitseáil	ˈ k oː tʲ aː lʲ
cóitseálaí	ˈ k oː tʲ aː l̻ˠ iː
col	ˈ k o l̻ˠ
cóla	ˈ k oː l̻ˠ ə
colainn	ˈ k o l̻ˠ ə n̻ʲ
colainne	ˈ k o l̻ˠ ə n̻ʲ ə
coláiste	ˈ k o l̻ˠ aː ʃ tʲ ə
colaistéaróil	
colaistéaról	ˈ k o l̻ˠ aː ʃ tʲ e ɾˠ o l̻ˠ
colbha	ˈ k o l̻ˠ ə vˠ ə
colgach	ˈ k o l̻ˠ ə ɡ a h
collach	ˈ k o l̻ˠ a h
collaí	ˈ k o l̻ˠ iː
collaíocht	ˈ k o l̻ˠ iː a x t̪ˠ
colm	ˈ k o l̻ˠ ə mˠ
colmán	ˈ k o l̻ˠ ə mˠ a n̻ˠ
Colómach	
colscaradh	ˈ k o l̻ˠ sˠ k a ɾˠ uː
colúin	ˈ k o l̻ˠ uː nʲ
colún	ˈ k o l̻ˠ u n̻ˠ
colúnaí	ˈ k o l̻ˠ u n̻ˠ iː
colúr	ˈ k o l̻ˠ u ɾˠ
Comáin	ˈ k o mˠ aː nʲ
cománlach	ˈ k o mˠ aː n̻ˠ l̻ˠ ə h
comaoin	ˈ k o mˠ i nʲ
Comaoineach	ˈ k o mˠ i nʲ a h
comh	ˈ k oː vˠ
comhábhar	ˈ k oː ˈ aː vˠ ə ɾˠ
comhad	ˈ k oː d̪ˠ
comhadainm	ˈ k oː ˈ a d̪ˠ ə nʲ mʲ
comhadlann	ˈ k oː ˈ a d̪ˠ l̻ˠ ə n̻ˠ
comhaid	ˈ k oː ˈ a dʲ
comhaimseartha	ˈ k oː a mʲ ʃ ə ɾˠ hʲ ə
comhair	ˈ k oː ɾʲ
comh-aireacht	ˈ k oː ˈ a ɾʲ a x t̪ˠ
comh-aireachta	ˈ k oː ˈ a ɾʲ ə ɾˠ t̪ˠ ə
comhaireamh	ˈ k oː ɾʲ uː
comhairle	ˈ k oː ɾˠ lʲ ə
Comhairle	ˈ k oː ɾˠ lʲ ə
comhairleach	ˈ k oː ɾˠ lʲ a h
comhairleoir	ˈ k oː ɾˠ lʲ o ɾʲ
comhairligh	ˈ k oː ɾˠ lʲ iː
comhairliú	ˈ k oː ˈ a ɾʲ lʲ uː
comhairliúcháin	ˈ k oː ˈ a ɾʲ lʲ uː h aː nʲ
comhairliúchán	ˈ k oː ˈ a ɾʲ lʲ uː h aː n̻ˠ
comhairthe	ˈ k oː ˈ a ɾʲ h ə
comhall	ˈ k oː l̻ˠ
comhalta	ˈ k oː l̻ˠ t̪ˠ ə
comhaltas	ˈ k oː l̻ˠ t̪ˠ ə sˠ
comhaontachas	ˈ k oː ˈ eː n̻ˠ ˈ t̪ˠ a h ə sˠ
comhaontú	ˈ k oː ˈ iː n̻ˠ t̪ˠ uː
comhar	ˈ k oː ɾˠ
comhardaigh	ˈ k oː ɾˠ d̪ˠ iː
comhardaithe	ˈ k oː ˈ a ɾˠ d̪ˠ ə h ə
comharsa	ˈ k oː ɾˠ sˠ ə
comharsanacht	ˈ k oː ɾˠ sˠ ə n̻ˠ a x t̪ˠ
comhartha	ˈ k oː ɾˠ h ə
comharthaí	ˈ k oː ˈ a ɾˠ h iː
comharthaigh	ˈ k oː ɾˠ h iː
comharthaíocht	ˈ k oː ɾˠ h iː a x t̪ˠ
comhbhá	ˈ k oː vˠ aː
comhbhabhtáil	ˈ k oː ˈ vˠ au t̪ˠ a lʲ
comhbhaile	ˈ k oː ˈ vˠ a lʲ ə
comhbhráithreachas	ˈ k oː vˠ ɾˠ a hʲ ɾʲ a h ə sˠ
comhbhráthair	ˈ k oː ˈ vˠ ɾˠ aː h ə ɾʲ
comhbhrúiteoir	ˈ k oː 
comhbhuainteoir	ˈ k oː 
comhchathair	ˈ k oː ˈ x a h ə ɾʲ
comhcheangail	ˈ k oː ç a ŋ ɡ ə lʲ
comhcheangal	ˈ k oː ç a ŋ ɡ ə l̻ˠ
comhcheilg	ˈ k oː ç e lʲ ə ɟ
comhchéim	ˈ k oː ˈ ç eː mʲ
comhchoiste	ˈ k oː ˈ x o ʃ tʲ ə
comhchoiteann	ˈ k oː ˈ x o tʲ ə n̻ˠ
comhchosach	ˈ k oː x a sˠ a h
comhchosúil	ˈ k oː ˈ x o sˠ u lʲ
comhchothrom	ˈ k oː ˈ x o ɾ̥ˠ ə mˠ
comhchraol	ˈ k oː ˈ x ɾˠ iː l̻ˠ
comhchraolta	ˈ k oː ˈ x ɾˠ iː l̻ˠ t̪ˠ ə
comhchruinn	ˈ k oː x ɾˠ i n̻ʲ
comhchruinne	ˈ k oː ˈ x ɾˠ i n̻ʲ ə
comhchruinniú	ˈ k oː ˈ x ɾˠ i n̻ʲ uː
comhchuntas	ˈ k oː ˈ x u n̻ˠ t̪ˠ ə sˠ
comhdaigh	ˈ k oː d̪ˠ iː
comhdháil	ˈ k oː ɣ aː lʲ
comhdhála	ˈ k oː ˈ ɣ aː l̻ˠ ə
comhdhéanamh	ˈ k oː j eː n̻ˠ uː
comhéifeacht	ˈ k oː ˈ eː fʲ a x t̪ˠ
comhfhaid	ˈ k oː ˈ a dʲ
comhfhiontar	ˈ k oː ˈ i n̻ˠ t̪ˠ ə ɾˠ
comhfhiosach	ˈ k oː ˈ i sˠ a h
comhfhreagrach	ˈ k oː ɾʲ aː ɡ ɾˠ a h
comhfhreagraí	ˈ k oː ˈ ɾʲ a ɡ ɾˠ iː
comhghairdeas	ˈ k oː ˈ ɣ a ɾˠ dʲ ə sˠ
comhghéilleadh	ˈ k oː ˈ j eː l̻ʲ uː
comhghleacaí	ˈ k oː ˈ j lʲ a k iː
comhghnéis	ˈ k oː ˈ j nʲ eː ʃ
comhiarracht	ˈ k oː ˈ ia ɾˠ a x t̪ˠ
comhinscne	ˈ k oː ˈ i n̻ʲ ʃ c nʲ ə
comhionann	ˈ k oː ˈ i n̻ˠ ə n̻ˠ
comhionannais	ˈ k oː ˈ i n̻ˠ ə n̻ˠ ə ʃ
comhionannas	ˈ k oː ˈ i n̻ˠ ə n̻ˠ ə sˠ
comhla	ˈ k oː l̻ˠ ə
comhlach	ˈ k oː l̻ˠ a h
Comhlachaithe	ˈ k oː ˈ l̻ˠ a h ə h ə
comhlacht	ˈ k oː l̻ˠ a x t̪ˠ
comhlachta	ˈ k oː ˈ l̻ˠ a ɾˠ t̪ˠ ə
comhlán	ˈ k oː l̻ˠ a n̻ˠ
comhlánaigh	ˈ k oː l̻ˠ a n̻ˠ iː
comhlánaithe	ˈ k oː ˈ l̻ˠ aː n̻ˠ ə h ə
comhleá	ˈ k oː lʲ aː
comhlíon	ˈ k oː lʲ i n̻ˠ
comhlíonadh	ˈ k oː lʲ i n̻ˠ uː
comhloingseoir	ˈ k oː ˈ l̻ˠ o ɲ ʃ o ɾʲ
comhluadar	ˈ k oː l̻ˠ ua d̪ˠ ə ɾˠ
comhoiriúnach	ˈ k oː ˈ o ɾʲ u n̻ˠ a h
comhoiriúnaithe	ˈ k oː ˈ o ɾʲ uː n̻ˠ ə h ə
comhpháirtí	ˈ k oː ˈ fˠ aː ɾˠ tʲ iː
Comhphobal	ˈ k oː ˈ fˠ o bˠ ə l̻ˠ
comhrá	ˈ k oː ɾˠ aː
comhrac	ˈ k oː ɾˠ ə k
comhraic	ˈ k oː ɾˠ ə c
comhráite	ˈ k oː ˈ ɾˠ aː tʲ ə
comhráiteach	ˈ k oː ɾˠ a tʲ a h
comhráití	ˈ k oː ˈ ɾˠ aː tʲ iː
comhreathach	ˈ k oː ˈ ɾˠ a h a h
comhréidh	ˈ k oː ɾˠ eː j
comhréiteach	ˈ k oː ɾˠ eː tʲ a h
comhscóir	ˈ k oː ˈ sˠ k oː ɾʲ
comhscór	ˈ k o sˠ k o ɾˠ
comhshaoil	ˈ k oː ˈ h iː lʲ
comhshaol	ˈ k oː ˈ h iː l̻ˠ
comhshóigh	ˈ k oː ˈ h oː j
comhshuíomh	ˈ k oː h iː vˠ
comhstádais	ˈ k oː ˈ sˠ t̪ˠ aː d̪ˠ ə ʃ
comhstratam	ˈ k oː ˈ sˠ t̪ˠ ɾˠ a t̪ˠ ə mˠ
comhtháite	ˈ k oː h aː tʲ ə
comhtharraingt	ˈ k oː ˈ h a ɾˠ ə nʲ tʲ
comhtháthaigh	ˈ k oː ˈ h aː h iː
comhtháthú	ˈ k oː ˈ h aː h uː
comhtheacht	ˈ k oː ˈ hʲ a x t̪ˠ
comhthéacs	ˈ k oː h eː k sˠ
comhthéacsúil	ˈ k oː ˈ h eː k sˠ uː lʲ
comhthionól	ˈ k oː hʲ i n̻ˠ o l̻ˠ
comhthoghadh	ˈ k oː ˈ h au ə
comhthráthach	ˈ k oː ˈ ɾ̥ˠ aː h ə h
comhthuiscint	ˈ k oː ˈ h i ʃ c ə n̻ʲ tʲ
comhuaineach	ˈ k oː ˈ ua nʲ a h
comhurnaí	ˈ k oː ˈ u ɾˠ n̻ˠ iː
comóir	ˈ k o mˠ o ɾʲ
comónta	ˈ k o mˠ o n̻ˠ t̪ˠ ə
comóradh	ˈ k o mˠ o ɾˠ uː
comórtas	ˈ k o mˠ o ɾˠ t̪ˠ ə sˠ
compánach	ˈ k o mˠ pˠ a n̻ˠ a h
compántas	ˈ k o mˠ pˠ a n̻ˠ t̪ˠ ə sˠ
comparáid	ˈ k o mˠ pˠ ə ɾˠ a dʲ
complacht	ˈ k o mˠ pˠ l̻ˠ a x t̪ˠ
compordach	ˈ k o mˠ pˠ o ɾˠ d̪ˠ a h
comrádaí	ˈ k o mˠ ɾˠ a d̪ˠ iː
cónaí	ˈ k oː n̻ˠ iː
cónaigh	ˈ k oː n̻ˠ iː
conáilte	ˈ k o n̻ˠ aː lʲ tʲ ə
conair	ˈ k o n̻ˠ ə ɾʲ
cónaisc	ˈ k oː n̻ˠ a ʃ c
cónaithe	ˈ k oː n̻ˠ ə h ə
cónaitheacht	ˈ k oː n̻ˠ ə h ə ɾˠ t̪ˠ
conartha	ˈ k o n̻ˠ ə ɾˠ h ə
conarthach	ˈ k o n̻ˠ ə ɾˠ h ə h
conas	ˈ k o n̻ˠ ə sˠ
cónasc	ˈ k oː n̻ˠ a sˠ k
cónascadh	ˈ k oː n̻ˠ a sˠ k uː
conclúid	ˈ k o n̻ˠ k l̻ˠ uː dʲ
Confúiceach	ˈ k o n̻ˠ fˠ uː c ə h
cóngar	ˈ k oː ŋ ɡ ə ɾˠ
cóngarach	ˈ k oː ŋ ɡ ə ɾˠ a h
cóngaracht	ˈ k oː ŋ ə ɾˠ ə ɾˠ t̪ˠ
Congó	
Congólach	
Congólais	
Congólaise	
Connachta	ˈ k o n̻ˠ ə ɾˠ t̪ˠ ə
cónra	ˈ k oː n̻ˠ ɾˠ ə
conradh	ˈ k o n̻ˠ ɾˠ uː
conriocht	ˈ k o nʲ ɾʲ ə ɾˠ t̪ˠ
consan	ˈ k o n̻ˠ sˠ ə n̻ˠ
conspóid	k ə n̻ˠ ˈ sˠ pˠ o dʲ
conspóideach	k ə n̻ˠ ˈ sˠ pˠ o dʲ a h
constábla	k ə n̻ˠ ˈ sˠ t̪ˠ a bˠ l̻ˠ ə
constaic	k ə n̻ˠ ˈ sˠ t̪ˠ a c
contae	k ə n̻ˠ ˈ t̪ˠ e
contráilte	k ə n̻ˠ ˈ t̪ˠ ɾˠ a l̻ʲ tʲ ə
contrártha	k ə n̻ˠ ˈ t̪ˠ ɾˠ a ɾˠ h ə
contrárthacht	k ə n̻ˠ ˈ t̪ˠ ɾˠ a ɾˠ h a x t̪ˠ
contráth	ˈ k o n̻ˠ t̪ˠ ɾˠ aː
contúirt	ˈ k ə n̻ˠ t̪ˠ u ɾˠ tʲ
contúirte	ˈ k o n̻ˠ t̪ˠ uː ɾˠ tʲ ə
contúirteach	ˈ k ə n̻ˠ t̪ˠ u ɾˠ tʲ a h
copar	ˈ k o pˠ ə ɾˠ
coparaithe	ˈ k o pˠ ə ɾˠ ə h ə
coparchlúdaithe	ˈ k o pˠ ə ɾˠ x l̻ˠ uː d̪ˠ ə h ə
coparthónach	
copróg	
Coptach	ˈ k o pˠ t̪ˠ ə h
Coptais	ˈ k o pˠ t̪ˠ ə ʃ
Coptaise	ˈ k o pˠ t̪ˠ ə ʃ ə
cor	ˈ k a ɾˠ
cór	ˈ k oː ɾˠ
coradh	ˈ k a ɾˠ uː
Córán	ˈ k oː ɾˠ aː n̻ˠ
Corantach	ˈ k o ɾˠ ə n̻ˠ t̪ˠ ə h
córas	ˈ k oː ɾˠ ə sˠ
corc	ˈ k o ɾˠ k
Corcaigh	ˈ k oː ɾˠ k iː
corcáil	ˈ k o ɾˠ k aː lʲ
corcdhair	ˈ k oː ɾˠ k ɣ ə ɾʲ
corcra	ˈ k o ɾˠ k ɾˠ ə
corda	ˈ k oː ɾˠ d̪ˠ ə
córlann	ˈ k oː ɾˠ l̻ˠ ə n̻ˠ
corn	ˈ k o ɾˠ n̻ˠ
Corn	ˈ k o ɾˠ n̻ˠ
corna	ˈ k o ɾˠ n̻ˠ ə
Cornach	ˈ k oː ɾˠ n̻ˠ ə h
cornchlár	ˈ k o ɾˠ n̻ˠ ˈ x l̻ˠ aː ɾˠ
cornóg	
corntha	ˈ k oː ɾˠ n̻ˠ h ə
Coróin	ˈ k o ɾˠ oː nʲ
corp	ˈ k o ɾˠ pˠ
corpacmhainn	ˈ k oː ɾˠ pˠ ə k vˠ ə n̻ʲ
corpacmhainne	ˈ k oː ɾˠ pˠ ə k vˠ ə n̻ʲ ə
corpán	ˈ k o ɾˠ pˠ a n̻ˠ
corpartha	ˈ k o ɾˠ pˠ ə ɾˠ h ə
corpas	ˈ k oː ɾˠ pˠ ə sˠ
corpoideachas	ˈ k oː ɾˠ pˠ ə dʲ ə h ə sˠ
corr	ˈ k o ɾˠ
corra	ˈ k o ɾˠ ə
corrach	ˈ k o ɾˠ a h
corraí	ˈ k o ɾˠ iː
corraigh	ˈ k o ɾˠ iː
corraíl	ˈ k ə ɾˠ i lʲ
corraithe	ˈ k o ɾˠ i hʲ ə
corraitheach	ˈ k o ɾˠ ə hʲ a h
corrán	ˈ k o ɾˠ a n̻ˠ
Corrán	ˈ k o ɾˠ a n̻ˠ
corrchineálach	ˈ k au ɾˠ ˈ ç i nʲ a l̻ˠ a h
corrmhéar	ˈ k o ɾˠ vʲ eː ɾˠ
corrthónach	ˈ k o ɾˠ h oː n̻ˠ a h
corruair	ˈ k o ɾˠ ua ɾʲ
córúil	ˈ k oː ɾˠ u lʲ
cos	ˈ k o sˠ
Cosacach	ˈ k o sˠ ə k ə h
cosain	ˈ k o sˠ ə nʲ
cosaint	ˈ k o sˠ ə n̻ʲ tʲ
cosamar	ˈ k o sˠ ə mˠ ə ɾˠ
cosanta	ˈ k o sˠ ə n̻ˠ t̪ˠ ə
cosantóir	ˈ k o sˠ ə n̻ˠ t̪ˠ o ɾʲ
cosantóirí	
cosc	ˈ k o sˠ k
coscair	ˈ k o sˠ k ə ɾʲ
coscán	ˈ k o sˠ k aː n̻ˠ
coscánaigh	ˈ k o sˠ k aː n̻ˠ iː
cosmhuintir	ˈ k o sˠ vˠ i tʲ ə ɾʲ
cosnochta	ˈ k o sˠ n̻ˠ a x t̪ˠ ə
cósta	ˈ k oː sˠ t̪ˠ ə
Cósta	ˈ k oː sˠ t̪ˠ ə
cóstáil	ˈ k oː sˠ t̪ˠ aː lʲ
costáil	ˈ k o sˠ t̪ˠ a lʲ
costáilte	ˈ k o sˠ t̪ˠ aː lʲ tʲ ə
costais	ˈ k o sˠ t̪ˠ ə ʃ
costas	ˈ k o sˠ t̪ˠ ə sˠ
costasach	ˈ k o sˠ t̪ˠ ə sˠ a h
cost-éifeachtúil	ˈ k o sˠ ˈ t̪ˠ eː fʲ a x t̪ˠ u lʲ
cost-éifeachtúlacht	ˈ k o sˠ ˈ t̪ˠ eː fʲ ə ɾˠ t̪ˠ uː l̻ˠ ə ɾˠ t̪ˠ
cóstóireachta	
cosúil	ˈ k o sˠ u lʲ
cosúlacht	ˈ k o sˠ uː l̻ˠ a x t̪ˠ
cosúlachta	ˈ k o sˠ uː l̻ˠ a x t̪ˠ ə
cóta	ˈ k oː t̪ˠ ə
cothabháil	ˈ k o h ə ˈ au ə lʲ
cothaigh	ˈ k o h iː
cothaitheach	ˈ k o h i h a h
cothrom	ˈ k o ɾ̥ˠ ə mˠ
cothromaigh	ˈ k o ɾ̥ˠ ə mˠ iː
cothromaíocht	ˈ k o ɾ̥ˠ ə mˠ iː a x t̪ˠ
cothromaithe	ˈ k o ɾ̥ˠ ə mˠ ə h ə
cothromán	ˈ k o ɾ̥ˠ ə mˠ aː n̻ˠ
cothrománach	ˈ k o ɾ̥ˠ ə mˠ aː n̻ˠ ə h
cothromú	ˈ k o ɾ̥ˠ ə mˠ uː
cothú	ˈ k o h uː
cothúchán	ˈ k o h uː h aː n̻ˠ
crá	ˈ k ɾˠ aː
crácamas	ˈ k ɾˠ aː k ə mˠ ə sˠ
crágán	ˈ k ɾˠ aː ɡ aː n̻ˠ
crágshnámh	ˈ k ɾˠ aː ɡ ˈ n̻̊ˠ aː vˠ
craic	ˈ k ɾˠ a c
