* 'dh eadh: dhea
* cruadh chás: cruachás
* cruadh-chás: cruachás
* cruadha: crua
* cruadhtain: cruatain
* cruadhtan: cruatan
* cruinnighthe: cruinnithe
* cruinniughadh: cruinniú
* cruinniúghadh: cruinniú
* crádh: crá
* cráidhte: cráite
* cráidhteacht: cráiteacht
* críochnughadh: críochnú
* críochnuigh: críochnaigh
* críochnuigheadh: críochnaíodh
* críochnuighthe: críochnaithe
* críosdaidhe: críostaí
* críostaidhe: críostaí
* cródha: cróga
* crúisgín: crúiscín
* cu: cú
* cuaird: cuairt
* cualacht: cuallacht
* cuinne: coinne
* cuirean: cuireann
* cuirimís: cuirimis
* cuirp: coirp
* cuirtar: cuirtear
* cumhang: cúng
* cuthaig: cuthaigh
* cá bh' fhios: cá bhfios
* cá bh'fhios: cá bhfios
* cá bh’ fhios: cá bhfios
* cá bh’fhios: cá bhfios
* cáirde: cairde
* cár bh': cárbh
* cár bh’: cárbh
* cárdáil: cardáil
* cé 'r bh': cérbh
* cé ’r bh’: cérbh
* cé'cu: cé acu
* cé'r: cér
* céadna: céanna
* céireach: céarach
* cé’r: cér
* cíosana: cíosanna
* cómhacht: cumhacht
* cómhair: comhair
* cómhairigheadh: cómhairíodh
* cómhairimh: comhairimh
* cómhairle: comhairle
* cómhar: comhar
* cómharsa: comharsa
* cómharsan: comharsan
* cómhartha: comhartha
* cómharthaí: comharthaí
* cómhchruinn: comhchruinn
* cómhgar: cóngar
* cómhluadar: comhluadar
* cómhlíon: comhlíon
* cómhlíonadh: comhlíonadh
* cómhngar: cóngar
* cómhnuighe: cónaí
* cómhnuighthe: cónaithe
* cúbhar: cúr
* cúig-déag: cúig déag
* cúigmhadh: cúigiú
* cúiseana: cúiseanna
* cúl-chainte: cúlchainte
* cúmhachtach: cumhachtach
* cúmtha: cumtha
* cúntas: cuntas
* cúrsaidhe: cúrsaí
* d' aoís: d'aois
* d' atharughadh: d'athrú
* d' eirigh: d'éirigh
* d' eirigheadar: d'éiríodar
* d' fhagháil: d'fháil
* d' fheuch: d'fhéach
* d' fhághail: d'fháil
* d' imthig: d'imigh
* d' imthigh: d'imigh
* d' imthigheadar: d'imíodar
* d' imthigheadh: d'imíodh
* d' innis: d'inis
* d' innsint: d'insint
* d' iompuigh: d'iompaigh
* d' iompuighdar: d'iompaíodar
* d' iompuigheadar: d'iompaíodar
* d' iongnadh: d'ionadh
* d' oibrigheadh: d'oibríodh
* d' á: dá
* d' ár: dár
* d' árdughadh: d'ardú
* d' árduig: d'ardaigh
* d' árduigh: d'ardaigh
* d' éaluigh: d'éalaigh
* d' éaluigheas: d'éalaíos
* d'admhuigh: d'admhaigh
* d'airigheadar: d'airíodar
* d'airigheadh: d'airíodh
* d'airighinn: d'airínn
* d'aithnighinn: d'aithnínn
* d'aoís: d'aois
* d'atharughadh: d'athrú
* d'athrughadh: d'athrú
* d'athruigh: d'athraigh
* d'eirigh: d'éirigh
* d'eirigheadar: d'éiríodar
* d'fhaduigh: d'fhadaigh
* d'fhagháil: d'fháil
* d'fheuch: d'fhéach
* d'fheuchadar: d'fhéachadar
* d'fheuchadh: d'fhéachadh
* d'fheuchfadh: d'fhéachfadh
* d'fhiafruigh: d'fhiafraigh
* d'fhuasgailt: d'fhuascailt
* d'fhuiling: d'fhulaing
* d'fhághail: d'fháil
* d'fháisg: d'fháisc
* d'fhásgadh: d'fháscadh
* d'imtheacht: d'imeacht
* d'imthig: d'imigh
* d'imthigh: d'imigh
* d'imthigheadar: d'imíodar
* d'imthigheadh: d'imíodh
* d'imthígheadh: d'imíodh
* d'innis: d'inis
* d'innsint: d'insint
